label,ï»¿publisher,publisherarea,publishertype,year,rawtitle,usedtitle,title_tokens,cluster
132,tribunnews,national,media,2019,Warga Kuningan Temukan Bayi Kukang   Kondisi Lemah dan Makan Harus Disuapi,warga kuningan temu bayi kukang kondisi lemah makan suap,"['warga', 'kuningan', 'temu', 'bayi', 'kukang', 'kondisi', 'lemah', 'makan', 'suap']",0
133,liputan6,national,media,2019,Cerita Evakuasi Kukang hingga Buaya Muara Temuan Warga Pantura ,cerita evakuasi kukang buaya muara temu warga pantura,"['cerita', 'evakuasi', 'kukang', 'buaya', 'muara', 'temu', 'warga', 'pantura']",0
134,kompas,national,media,2019,Terungkap   Arti Motif Wajah pada Kukang Jawa  ,motif wajah kukang jawa,"['motif', 'wajah', 'kukang', 'jawa']",5
135,idnjurnal,national,media,2019,Terancam Punah   Puluhan Kukang Jawa Dilepas di Gunung Salak,ancam punah puluh kukang jawa lepas gunung salak,"['ancam', 'punah', 'puluh', 'kukang', 'jawa', 'lepas', 'gunung', 'salak']",5
136,pikiran-rakyat,national,media,2019,bbksda jabar evakuasi buaya peliharaan warga,bbksda jabar evakuasi buaya pelihara warga,"['bbksda', 'jabar', 'evakuasi', 'buaya', 'pelihara', 'warga']",0
137,pikiran-rakyat,national,media,2019,Populasi Kukang Jawa Turun      Persen,populasi kukang jawa turun persen,"['populasi', 'kukang', 'jawa', 'turun', 'persen']",5
138,lampost,local,media,2019,berita kukang albino ini kini hidup liar di tnbbs,berita kukang albino hidup liar tnbbs,"['berita', 'kukang', 'albino', 'hidup', 'liar', 'tnbbs']",6
139,tirto,national,media,2019,Sepuluh Invididu Macan Tutul Jawa Terdeteksi di Guntur Papandayan,puluh invididu macan tutul jawa deteksi guntur papandayan,"['puluh', 'invididu', 'macan', 'tutul', 'jawa', 'deteksi', 'guntur', 'papandayan']",1
140,detik,national,media,2019,Tempuh Hutan Menanjak   IAR Lepas      Kukang Jawa di Gunung Sawal,tempuh hutan tanjak iar lepas kukang jawa gunung sawal,"['tempuh', 'hutan', 'tanjak', 'iar', 'lepas', 'kukang', 'jawa', 'gunung', 'sawal']",5
141,tribunnews,national,media,2019,Selain Macan Tutul   Ini Satwa yang Dilindungi di Taman Nasional Gunung Ciremai,macan tutul satwa lindung taman nasional gunung ciremai,"['macan', 'tutul', 'satwa', 'lindung', 'taman', 'nasional', 'gunung', 'ciremai']",3
142,cnnindonesia,national,media,2019,Menghargai Kehadiran Macan Tutul Jawa di Papandayan,harga hadir macan tutul jawa papandayan,"['harga', 'hadir', 'macan', 'tutul', 'jawa', 'papandayan']",1
143,tribunnews,national,media,2019,Waspada Saat Mendaki di Gunung Papandayan   Pendaki Kabur Ketika Lihat Anak Macan Tutul,waspada daki gunung papandayan daki kabur anak macan tutul,"['waspada', 'daki', 'gunung', 'papandayan', 'daki', 'kabur', 'anak', 'macan', 'tutul']",1
144,portalmadura,local,media,2019,Indonesia Lepasliarkan      Kukang Jawa ,indonesia lepasliar kukang jawa,"['indonesia', 'lepasliar', 'kukang', 'jawa']",5
145,suaracirebon,local,media,2019,Lagi   BKSDA Evakuasi Bayi Kukang Jawa ,bksda evakuasi bayi kukang jawa,"['bksda', 'evakuasi', 'bayi', 'kukang', 'jawa']",5
146,detik,national,media,2019,Jual    Ekor Kukang di Pasar Hewan Palembang   Santi Ditangkap,jual ekor kukang pasar hewan palembang santi tangkap,"['jual', 'ekor', 'kukang', 'pasar', 'hewan', 'palembang', 'santi', 'tangkap']",2
147,kompas,national,media,2019,Setiap Tahun              Kukang Jawa Dijual di Medsos,tahun kukang jawa jual medsos,"['tahun', 'kukang', 'jawa', 'jual', 'medsos']",5
148,antaranews,national,media,2019,BBKSDA Jawa Barat terima buaya   kukang   dan kucing hutan dari warga ,bbksda jawa barat terima buaya kukang kucing hutan warga,"['bbksda', 'jawa', 'barat', 'terima', 'buaya', 'kukang', 'kucing', 'hutan', 'warga']",0
149,liputan6,national,media,2019,Koala Hingga Kukang      Hewan yang Terlihat Lucu Namun Membahayakan ,koala kukang hewan lucu bahaya,"['koala', 'kukang', 'hewan', 'lucu', 'bahaya']",4
150,kbr,national,media,2019,Tak Hanya Sengon   PLN Juga Sebut Kukang Penyebab Listrik Mati ,sengon pln kukang listrik mati,"['sengon', 'pln', 'kukang', 'listrik', 'mati']",4
151,grid,national,media,2019,Upaya Pelestarian   Pertamina Lepasliarkan Kukang Jawa Kembali ke Habitatnya ,upaya lestari pertamina lepasliar kukang jawa habitat,"['upaya', 'lestari', 'pertamina', 'lepasliar', 'kukang', 'jawa', 'habitat']",5
152,tribunnews,national,media,2019,VIDEO IRT di Lhokseumawe Selamatkan Seekor Kukang   Kondisinya Mengenaskan,video irt lhokseumawe selamat ekor kukang kondisi enas,"['video', 'irt', 'lhokseumawe', 'selamat', 'ekor', 'kukang', 'kondisi', 'enas']",0
153,tribunnews,national,media,2019,Ibu Rumah Tangga Selamatkan Kukang Berlumuran Darah   Tangan dan Kaki Kiri Putus   Begini Kondisinya,rumah tangga selamat kukang lumur darah tangan kaki kiri putus kondisi,"['rumah', 'tangga', 'selamat', 'kukang', 'lumur', 'darah', 'tangan', 'kaki', 'kiri', 'putus', 'kondisi']",1
154,tribunnews,national,media,2019,Tahu dari Google   Warga di Indramayu Ini Takut Kukang yang Ditangkapnya Dilindungi Undang,google warga indramayu takut kukang tangkap lindung undang,"['google', 'warga', 'indramayu', 'takut', 'kukang', 'tangkap', 'lindung', 'undang']",3
155,antaranews,national,media,2019,Kukang yang tersesat itu telah diselamatkan ,kukang sesat selamat,"['kukang', 'sesat', 'selamat']",4
156,antaranews,national,media,2019,BKSDA Cirebon terima penyerahan Kukang Jawa ,bksda cirebon terima serah kukang jawa,"['bksda', 'cirebon', 'terima', 'serah', 'kukang', 'jawa']",0
157,antaranews,national,media,2019,Polisi Kediri amankan warga jual hewan dilindungi ,polisi aman warga jual hewan lindung,"['polisi', 'aman', 'warga', 'jual', 'hewan', 'lindung']",2
158,harapanrakyat,national,media,2019,     Ekor Kukang Jawa Hasil Sitaan Dilepasliarkan di Gunung Sawal Ciamis,ekor kukang jawa hasil sita lepasliar gunung sawal ciamis,"['ekor', 'kukang', 'jawa', 'hasil', 'sita', 'lepasliar', 'gunung', 'sawal', 'ciamis']",5
159,riausky,local,media,2019,Polda Riau Gagalkan Perdagangan Satwa Dilindungi   Ada Bayi Buaya   Kancil   Kukang hingga Burung,polda riau gagal dagang satwa lindung bayi buaya kancil kukang burung,"['polda', 'riau', 'gagal', 'dagang', 'satwa', 'lindung', 'bayi', 'buaya', 'kancil', 'kukang', 'burung']",3
160,mongabay,national,media,2019,Hutan Jawa Rusak Bukan Hanya Manusia Merugi   Satwa juga Menderita,hutan jawa rusak manusia rugi satwa derita,"['hutan', 'jawa', 'rusak', 'manusia', 'rugi', 'satwa', 'derita']",5
161,liputan6,national,media,2019,Nasib Si Kancil dan Puluhan Burung Pentet Eksis di Facebook ,nasib si kancil puluh burung pentet eks facebook,"['nasib', 'si', 'kancil', 'puluh', 'burung', 'pentet', 'eks', 'facebook']",1
162,mongabay,national,media,2019,Eksotisnya Berbagai Hewan Bule Ini,eksotis hewan bule,"['eksotis', 'hewan', 'bule']",1
163,pikiran-rakyat,national,media,2019,Laporkan Kepemilikan Hewan Dilindungi,lapor milik hewan lindung,"['lapor', 'milik', 'hewan', 'lindung']",3
164,minanews,national,media,2019,BKSDA Sosialisasikan Tumbuhan dan Satwa Dilindungi Kepada Siswa,bksda sosialisasi tumbuh satwa lindung siswa,"['bksda', 'sosialisasi', 'tumbuh', 'satwa', 'lindung', 'siswa']",3
165,antaranews,national,media,2019,Laboratorium Budaya Siku Keluang Kampar dibangun seniman Riau ,laboratorium budaya siku keluang kampar bangun seniman riau,"['laboratorium', 'budaya', 'siku', 'keluang', 'kampar', 'bangun', 'seniman', 'riau']",1
166,mongabay,national,media,2019,Tanpa Tidur   Bisakah Hewan Bertahan Hidup?,tidur hewan tahan hidup,"['tidur', 'hewan', 'tahan', 'hidup']",1
167,beritalima,national,media,2019,Binatang Langka Bisa Santet Orang ,binatang langka santet,"['binatang', 'langka', 'santet']",1
168,merdeka,national,media,2019,Jual Elang Alap Jambul   Susanto Diamankan Polisi,jual elang alap jambul susanto aman polisi,"['jual', 'elang', 'alap', 'jambul', 'susanto', 'aman', 'polisi']",2
169,theconversation,national,media,2019,Anda suka berwisata di alam liar? Ini lima cara untuk menjadi turis yang bertanggung jawab pada alam,suka wisata alam liar turis tanggung alam,"['suka', 'wisata', 'alam', 'liar', 'turis', 'tanggung', 'alam']",6
170,inews,national,media,2019,Jelajahi Bukit Siregol Purbalingga   Ada Air Terjun yang Terlihat Instagramable,jelajah bukit siregol purbalingga air terjun instagramable,"['jelajah', 'bukit', 'siregol', 'purbalingga', 'air', 'terjun', 'instagramable']",1
171,ddtc,national,media,2019,Melihat Profil Pajak di Sentra Kepulauan Borneo,profil pajak sentra pulau borneo,"['profil', 'pajak', 'sentra', 'pulau', 'borneo']",1
172,sindonews,national,media,2019,Kebun Binatang Mini di Pasuruan Digerebek        Satwa Langka Disita,kebun binatang mini pasuruan gerebek satwa langka sita,"['kebun', 'binatang', 'mini', 'pasuruan', 'gerebek', 'satwa', 'langka', 'sita']",3
173,antaranews,national,media,2019,Polda Riau tangkap sindikat perdagangan satwa dilindungi ,polda riau tangkap sindikat dagang satwa lindung,"['polda', 'riau', 'tangkap', 'sindikat', 'dagang', 'satwa', 'lindung']",3
174,liputan6,national,media,2019,Bila Makan Kucing Jadi Ritual Ilmu Hitam   Bagaimana Nasib Bang Grandong? ,makan kucing ritual ilmu hitam nasib bang grandong,"['makan', 'kucing', 'ritual', 'ilmu', 'hitam', 'nasib', 'bang', 'grandong']",1
175,gatra,national,media,2019,Masyarakat Tidak Dapat Reward Bila Serahkan Satwa ,masyarakat reward serah satwa,"['masyarakat', 'reward', 'serah', 'satwa']",0
176,mongabay,national,media,2019,Selamat Hari Primata   Selamatkan Mereka dari Perburuan,selamat primata selamat buru,"['selamat', 'primata', 'selamat', 'buru']",7
177,liputan6,national,media,2019,Yuk   Belajar soal Elang di Sekolah Konservasi Elang Kamojang ,yuk ajar elang sekolah konservasi elang kamojang,"['yuk', 'ajar', 'elang', 'sekolah', 'konservasi', 'elang', 'kamojang']",1
178,antaranews,national,media,2019,Kisah kepedulian pedagang kain pada orangutan di Antang Kalang ,kisah peduli dagang kain orangutan antang kalang,"['kisah', 'peduli', 'dagang', 'kain', 'orangutan', 'antang', 'kalang']",1
179,radarsukabumi,local,media,2019,Karang Bolong   Sempat Ditambang yang Kini Menawan ,karang bolong tambang tawan,"['karang', 'bolong', 'tambang', 'tawan']",1
180,voaindonesia,national,media,2019,Pelepasliaran Satwa Liar Sitaan   Kurangi Biaya dan Risiko Kematian,pelepasliaran satwa liar sita biaya risiko mati,"['pelepasliaran', 'satwa', 'liar', 'sita', 'biaya', 'risiko', 'mati']",6
181,mongabay,national,media,2019,Asia Tenggara   Wilayah dengan Laju Kepunahan Satwa Tertinggi di Dunia,asia tenggara wilayah laju punah satwa tinggi dunia,"['asia', 'tenggara', 'wilayah', 'laju', 'punah', 'satwa', 'tinggi', 'dunia']",7
182,liputan6,national,media,2019,Melacak Orangutan di Hutan Kendawangan Kalimantan ,lacak orangutan hutan kendawangan kalimantan,"['lacak', 'orangutan', 'hutan', 'kendawangan', 'kalimantan']",1
183,tempo,national,media,2019,Cerita Pedagang Kain Keliling Menyelamatkan Bayi Orangutan ,cerita dagang kain keliling selamat bayi orangutan,"['cerita', 'dagang', 'kain', 'keliling', 'selamat', 'bayi', 'orangutan']",1
184,tirto,national,media,2019,Cacar Monyet dan Deretan Penyakit Primata yang Menular ke Manusia,cacar monyet deret sakit primata tular manusia,"['cacar', 'monyet', 'deret', 'sakit', 'primata', 'tular', 'manusia']",7
185,merdeka,national,media,2019,Dampak Dampak Gerhana Matahari Total,dampak dampak gerhana matahari total,"['dampak', 'dampak', 'gerhana', 'matahari', 'total']",1
186,liputan6,national,media,2019,   Tempat Wisata di Banten yang Seru dan Jarang Diketahui   Wajib Kamu Kunjungi ,wisata banten seru jarang wajib kunjung,"['wisata', 'banten', 'seru', 'jarang', 'wajib', 'kunjung']",1
187,suryakepri,local,media,2019,Teror Ular Kobra di Jabodetabek   BKSD sudah Lepasliarkan ke Gunung Halimun ,teror ular kobra jabodetabek bksd lepasliar gunung halimun,"['teror', 'ular', 'kobra', 'jabodetabek', 'bksd', 'lepasliar', 'gunung', 'halimun']",1
188,malangtimes,local,media,2019,Polisi Penguji SIM Ini   Ternyata Juga Pawang Ular ,polisi uji sim pawang ular,"['polisi', 'uji', 'sim', 'pawang', 'ular']",1
189,bandung berita,local,media,2019,Nusakambangan yang indah   penuh mistis ,nusakambangan indah penuh mistis,"['nusakambangan', 'indah', 'penuh', 'mistis']",1
190,kompas,national,media,2019,PMI Sukabumi Serahkan Hewan Langka Kukang ,pmi sukabumi serah hewan langka kukang,"['pmi', 'sukabumi', 'serah', 'hewan', 'langka', 'kukang']",0
191,menlhk,national,government,2019,Lepasliar Kukang di Hari Hidupan Liar Sedunia ,lepasliar kukang hidup liar dunia,"['lepasliar', 'kukang', 'hidup', 'liar', 'dunia']",6
192,menlhk,national,government,2019,     Ekor Kukang Jawa Kembali Hidup Bebas di Hutan Gunung Halimun Salak ,ekor kukang jawa hidup bebas hutan gunung halimun salak,"['ekor', 'kukang', 'jawa', 'hidup', 'bebas', 'hutan', 'gunung', 'halimun', 'salak']",5
193,menlhk,national,government,2019,Warga Sampit Serahkan Kukang ke BKSDA Kalimantan Tengah ,warga sampit serah kukang bksda kalimantan tengah,"['warga', 'sampit', 'serah', 'kukang', 'bksda', 'kalimantan', 'tengah']",0
194,menlhk,national,government,2019,   Ekor Kukang Serahan Polda Sumatera Selatan Akhirnya Kembali ke Alam ,ekor kukang serah polda sumatera selatan alam,"['ekor', 'kukang', 'serah', 'polda', 'sumatera', 'selatan', 'alam']",0
195,menlhk,national,government,2019,TWA Tampomas dan TB Masigit Kareumbi Jadi Rumah Baru Bagi      Kukang Jawa ,twa tampomas tb masigit kareumbi rumah kukang jawa,"['twa', 'tampomas', 'tb', 'masigit', 'kareumbi', 'rumah', 'kukang', 'jawa']",5
196,menlhk,national,government,2019,Satu Individu Kukang Diserahkan Warga Tojai Baru   Pematang Siantar ,individu kukang serah warga tojai pematang siantar,"['individu', 'kukang', 'serah', 'warga', 'tojai', 'pematang', 'siantar']",0
197,kukangku,national,community,2019,Kukang Jawa   Si Lucu yang Banyak Diburu ,kukang jawa si lucu buru,"['kukang', 'jawa', 'si', 'lucu', 'buru']",5
198,ugm,local,academic,2019,Peka Kukang  Pengamatan Kukang di Hutan Kemuning   Temanggung   Jawa Tengah ,peka kukang kukang hutan kemuning tanggung jawa tengah,"['peka', 'kukang', 'kukang', 'hutan', 'kemuning', 'tanggung', 'jawa', 'tengah']",4
199,internationalanimalrescue,national,community,2019,Kukang Korban Peluru Senapan Angin Bertambah ,kukang korban peluru senapan angin,"['kukang', 'korban', 'peluru', 'senapan', 'angin']",1
200,pertamina,national,company,2019,Pertamina Kembalikan Kukang Jawa ke Habitatnya ,pertamina kukang jawa habitat,"['pertamina', 'kukang', 'jawa', 'habitat']",5
201,antaranews,national,media,2019,Penjual kukang dituntut lima tahun penjara ,jual kukang tuntut tahun penjara,"['jual', 'kukang', 'tuntut', 'tahun', 'penjara']",2
202,kukangku,national,community,2019,     Kukang Kembali Pulang Ke Habitat ,kukang pulang habitat,"['kukang', 'pulang', 'habitat']",1
203,internationalanimalrescue,national,community,2019,Upaya Konservasi Gigi Kukang Rehabilitasi ,upaya konservasi gigi kukang rehabilitasi,"['upaya', 'konservasi', 'gigi', 'kukang', 'rehabilitasi']",1
204,menlhk,national,government,2019,Petugas SPTN Wilayah V Bohorok Release Kukang dan Burung Elang ,tugas sptn wilayah bohorok release kukang burung elang,"['tugas', 'sptn', 'wilayah', 'bohorok', 'release', 'kukang', 'burung', 'elang']",1
205,kukangku,national,community,2019,Kukang Terluka Parah Diselamatkan oleh Seorang Ibu Rumah Tangga di Aceh ,kukang luka parah selamat rumah tangga aceh,"['kukang', 'luka', 'parah', 'selamat', 'rumah', 'tangga', 'aceh']",4
206,goodnewsfromindonesia,national,media,2019,Si Imut Kukang dan Tujuh Fakta Uniknya,si imut kukang tujuh fakta unik,"['si', 'imut', 'kukang', 'tujuh', 'fakta', 'unik']",4
207,kompas,national,media,2019,Empat Bulan Dilepasliarkan   Kukang Albino Mampu Beradaptasi ,lepasliar kukang albino adaptasi,"['lepasliar', 'kukang', 'albino', 'adaptasi']",1
208,perhutani,national,media,2019,Perhutani Perhutani Lepasliarkan      Ekor Kukang Jawa di Gunung Sawal Ciamis ,hutan hutan lepasliar ekor kukang jawa gunung sawal ciamis,"['hutan', 'hutan', 'lepasliar', 'ekor', 'kukang', 'jawa', 'gunung', 'sawal', 'ciamis']",5
209,internationalanimalrescue,national,community,2019,     Kukang Serahan Masyarakat Siap Pulang ke Habitatnya ,kukang serah masyarakat pulang habitat,"['kukang', 'serah', 'masyarakat', 'pulang', 'habitat']",0
210,liputan6,national,media,2019,Kembalinya Kukang Muka Geni ke Hutan Talaga Bodas Garut ,kukang muka gen hutan talaga bodas garut,"['kukang', 'muka', 'gen', 'hutan', 'talaga', 'bodas', 'garut']",4
211,detik,national,media,2019,     Kukang Jawa yang Disita dari Pemburu Dinyatakan Sehat,kukang jawa sita buru sehat,"['kukang', 'jawa', 'sita', 'buru', 'sehat']",5
212,satuharapan,national,media,2019,Kukang Jawa   si Pemalu yang Paling Terancam Punah ,kukang jawa si malu ancam punah,"['kukang', 'jawa', 'si', 'malu', 'ancam', 'punah']",7
213,antaranews,national,media,2019,Warga Sukabumi serahkan Kukang tersesat pada Hari Bumi ,warga sukabumi serah kukang sesat bumi,"['warga', 'sukabumi', 'serah', 'kukang', 'sesat', 'bumi']",0
214,tempo,national,media,2019,Pedagang Kukang Dituntut Hukuman    Tahun ,dagang kukang tuntut hukum tahun,"['dagang', 'kukang', 'tuntut', 'hukum', 'tahun']",4
215,republika,national,media,2019,Empat Ekor Kukang Jawa Dilepasliarkan di Garut ,ekor kukang jawa lepasliar garut,"['ekor', 'kukang', 'jawa', 'lepasliar', 'garut']",5
216,kukangku,national,community,2019,Ucil Si Kukang Obesitas ,ucil si kukang obesitas,"['ucil', 'si', 'kukang', 'obesitas']",4
217,bbc,national,media,2019,Komodo   orangutan   hingga kukang   mengapa perdagangan satwa langka terus terjadi? ,komodo orangutan kukang dagang satwa langka,"['komodo', 'orangutan', 'kukang', 'dagang', 'satwa', 'langka']",3
218,republika,national,media,2019,Tiga Kukang Dilepasliarkan di Kawasan Kamojang Garut ,kukang lepasliar kawasan kamojang garut,"['kukang', 'lepasliar', 'kawasan', 'kamojang', 'garut']",1
219,kompas,national,media,2019,Kukang Jawa dan Owa Jawa Kritis   Hampir Punah,kukang jawa owa jawa kritis punah,"['kukang', 'jawa', 'owa', 'jawa', 'kritis', 'punah']",5
220,tribunnews,national,media,2019,Ibu Rumah Tangga Selamatkan Kukang Berlumuran Darah   Tangan dan Kaki Kiri Putus   Begini Kondisinya,rumah tangga selamat kukang lumur darah tangan kaki kiri putus kondisi,"['rumah', 'tangga', 'selamat', 'kukang', 'lumur', 'darah', 'tangan', 'kaki', 'kiri', 'putus', 'kondisi']",1
221,kukangku,national,community,2019,Hari Kebebasan Si Kukang Albino ,bebas si kukang albino,"['bebas', 'si', 'kukang', 'albino']",4
222,menlhk,national,government,2019,      Ekor Kukang Jawa Kembali Hidup Bebas di Hutan Gunung Halimun Salak,ekor kukang jawa hidup bebas hutan gunung halimun salak,"['ekor', 'kukang', 'jawa', 'hidup', 'bebas', 'hutan', 'gunung', 'halimun', 'salak']",5
223,gatra,national,media,2019,Delapan Ekor Kukang Diamankan di Pasar Hewan Palembang ,delapan ekor kukang aman pasar hewan palembang,"['delapan', 'ekor', 'kukang', 'aman', 'pasar', 'hewan', 'palembang']",0
224,bisnis,national,media,2019,   Kukang Jawa Dilepasliarkan di Hutan Kamojang Garut,kukang jawa lepasliar hutan kamojang garut,"['kukang', 'jawa', 'lepasliar', 'hutan', 'kamojang', 'garut']",5
225,trans7,national,media,2019,PERBEDAAN KUSKUS DAN KUKANG ,beda kuskus kukang,"['beda', 'kuskus', 'kukang']",4
226,kukangku,national,community,2019,Aslan Si Kukang Gunung Salak ,aslan si kukang gunung salak,"['aslan', 'si', 'kukang', 'gunung', 'salak']",4
227,menlhk,national,government,2019,Call Center BBKSDA Sumut Terima Kukang Sumatera ,call center bbksda sumut terima kukang sumatera,"['call', 'center', 'bbksda', 'sumut', 'terima', 'kukang', 'sumatera']",4
228,internationalanimalrescue,national,community,2019,Karena Pelihara Kukang   Warga Cianjur Ditindak Petugas ,pelihara kukang warga cianjur tindak tugas,"['pelihara', 'kukang', 'warga', 'cianjur', 'tindak', 'tugas']",0
229,kukangku,national,community,2019,Arti Motif Wajah pada Kukang Jawa ,motif wajah kukang jawa,"['motif', 'wajah', 'kukang', 'jawa']",5
230,kukangku,national,community,2019,     Individu Kukang Sumatera Bersiap Pulang Ke Habitatnya ,individu kukang sumatera pulang habitat,"['individu', 'kukang', 'sumatera', 'pulang', 'habitat']",4
231,kukangku,national,community,2019,Kukang Nyasar ke Halaman Rumah   Lapor ke BBKSDA Jawa Barat ,kukang nyasar halaman rumah lapor bbksda jawa barat,"['kukang', 'nyasar', 'halaman', 'rumah', 'lapor', 'bbksda', 'jawa', 'barat']",1
232,kukangku,national,community,2019,Habitat Baru      Individu Kukang Sumatera ,habitat individu kukang sumatera,"['habitat', 'individu', 'kukang', 'sumatera']",4
233,gatra,national,media,2019,Delapan Ekor Kukang Diamankan di Pasar Hewan Palembang ,delapan ekor kukang aman pasar hewan palembang,"['delapan', 'ekor', 'kukang', 'aman', 'pasar', 'hewan', 'palembang']",0
234,gatra,national,media,2019,Delapan Ekor Kukang Diamankan di Pasar Hewan Palembang ,delapan ekor kukang aman pasar hewan palembang,"['delapan', 'ekor', 'kukang', 'aman', 'pasar', 'hewan', 'palembang']",0
235,kukangku,national,community,2019,Habitat Baru Untuk Ucil dan      Kukang Sumatera ,habitat ucil kukang sumatera,"['habitat', 'ucil', 'kukang', 'sumatera']",4
236,viva,national,media,2019,Kukang Jawa yang Terancam Punah Dikembalikan ke Habitatnya,kukang jawa ancam punah habitat,"['kukang', 'jawa', 'ancam', 'punah', 'habitat']",7
237,liputan6,national,media,2019,Memburu Minyak Pelet dan Syarat Mistis Bikin Nasib Kukang di Ujung Tanduk ,buru minyak pelet syarat mistis bikin nasib kukang ujung tanduk,"['buru', 'minyak', 'pelet', 'syarat', 'mistis', 'bikin', 'nasib', 'kukang', 'ujung', 'tanduk']",1
238,kukangku,national,community,2019,Jangan Main main   Pedagang Kukang Bisa Dituntut    Tahun Penjara ,main main dagang kukang tuntut tahun penjara,"['main', 'main', 'dagang', 'kukang', 'tuntut', 'tahun', 'penjara']",4
239,antaranews,national,media,2019,Seorang penjual Kukang dituntut    tahun penjara ,jual kukang tuntut tahun penjara,"['jual', 'kukang', 'tuntut', 'tahun', 'penjara']",2
240,kukangku,national,community,2019,Pelepasliaran Kukang Jawa SM Gunung Sawal ,pelepasliaran kukang jawa sm gunung sawal,"['pelepasliaran', 'kukang', 'jawa', 'sm', 'gunung', 'sawal']",5
241,kukangku,national,community,2019,Pertamina Bantu Pelepasliaran Kukang Jawa,pertamina bantu pelepasliaran kukang jawa,"['pertamina', 'bantu', 'pelepasliaran', 'kukang', 'jawa']",5
242,kukangku,national,community,2019,BBKSDA Jawa Barat Menerima Kukang Jawa Serahan Warga Subang ,bbksda jawa barat terima kukang jawa serah warga subang,"['bbksda', 'jawa', 'barat', 'terima', 'kukang', 'jawa', 'serah', 'warga', 'subang']",0
243,kukangku,national,community,2019,     Kukang Jawa Akhirnya Dilepasliarkan Di Gunung Sawal ,kukang jawa lepasliar gunung sawal,"['kukang', 'jawa', 'lepasliar', 'gunung', 'sawal']",5
244,kalimantantoday,local,media,2019,Bupati Sanggau Sepakat Hentikan Perburuan Kukang dan Kurangi Penggunaan Botol Plastik ,bupati sanggau sepakat henti buru kukang botol plastik,"['bupati', 'sanggau', 'sepakat', 'henti', 'buru', 'kukang', 'botol', 'plastik']",4
245,menlhk,national,government,2019,BBKSDA Riau Memberi Apresiasi Kepada Sobat Konservasi ,bbksda riau apresiasi sobat konservasi,"['bbksda', 'riau', 'apresiasi', 'sobat', 'konservasi']",1
246,kukangku,national,community,2019,Alobi Foundation dan BKSDA Sumsel Lepasliarkan Kukang Bangka ,alobi foundation bksda sumsel lepasliar kukang bangka,"['alobi', 'foundation', 'bksda', 'sumsel', 'lepasliar', 'kukang', 'bangka']",1
247,kukangku,national,community,2019,Mengantar Kepulangan      Kukang Jawa ,pulang kukang jawa,"['pulang', 'kukang', 'jawa']",5
248,kukangku,national,community,2019,Polda Sumsel Berhasil Gagalkan Perdagangan Kukang di Pasar      Ilir Palembang ,polda sumsel hasil gagal dagang kukang pasar ilir palembang,"['polda', 'sumsel', 'hasil', 'gagal', 'dagang', 'kukang', 'pasar', 'ilir', 'palembang']",4
249,kukangku,national,community,2019,Meli Si Kukang Yatim Piatu ,mel si kukang yatim piatu,"['mel', 'si', 'kukang', 'yatim', 'piatu']",4
250,kukangku,national,community,2019,     Ekor Kukang Jawa Dilepasliarkan di Tampomas ,ekor kukang jawa lepasliar tampomas,"['ekor', 'kukang', 'jawa', 'lepasliar', 'tampomas']",5
251,kukangku,national,community,2019,Wahid   Pasien Kukang Pertama di Tahun          ,wahid pasien kukang tahun,"['wahid', 'pasien', 'kukang', 'tahun']",4
252,menlhk,national,government,2019,Dua Satwa Dilindungi Pulang Ke Rumah ,satwa lindung pulang rumah,"['satwa', 'lindung', 'pulang', 'rumah']",3
253,menlhk,national,government,2019,Masyarakat Mitra Polhut Serahkan ROY ke Balai TN Kayan Mentarang ,masyarakat mitra polhut serah roy balai tn kayan tarang,"['masyarakat', 'mitra', 'polhut', 'serah', 'roy', 'balai', 'tn', 'kayan', 'tarang']",0
254,kukangku,national,community,2019,BKSDA Jambi Lepasliarkan Kukang Hasil Buruan ,bksda jambi lepasliar kukang hasil buru,"['bksda', 'jambi', 'lepasliar', 'kukang', 'hasil', 'buru']",1
255,liputan6,national,media,2019,Suami Menganggur   Ibu    Anak Nekat Jual Satwa Dilindungi di Palembang ,suami anggur anak nekat jual satwa lindung palembang,"['suami', 'anggur', 'anak', 'nekat', 'jual', 'satwa', 'lindung', 'palembang']",2
256,kukangku,national,community,2019,Kukang Jawa dan Owa Jawa Kritis   Hampir Punah ,kukang jawa owa jawa kritis punah,"['kukang', 'jawa', 'owa', 'jawa', 'kritis', 'punah']",5
257,republika,national,media,2019,Empat Hewan Dilindungi Diserahkan Warga ke BBKSDA Jabar ,hewan lindung serah warga bbksda jabar,"['hewan', 'lindung', 'serah', 'warga', 'bbksda', 'jabar']",0
258,menlhk,national,government,2019,Sejumlah Satwa Liar Dilepasliarkan ,satwa liar lepasliar,"['satwa', 'liar', 'lepasliar']",6
259,jatimprov,local,media,2019,Profauna Sesalkan Tingginya Pemburuan Satwa Liar di Kondang Iwak Kabupaten Malang,profauna sesal tinggi buru satwa liar kondang iwak kabupaten malang,"['profauna', 'sesal', 'tinggi', 'buru', 'satwa', 'liar', 'kondang', 'iwak', 'kabupaten', 'malang']",6
260,matain,national,media,2019,Kembalinya Kukang Muka Geni ke Hutan Talaga Bodas Garut,kukang muka gen hutan talaga bodas garut,"['kukang', 'muka', 'gen', 'hutan', 'talaga', 'bodas', 'garut']",4
261,nomorsatukaltim,local,media,2019,Satu satunya Primata Punya Bisa,primata,['primata'],7
